Temperature_C,Pressure_P,Message Number
25.92,97672.21,424
25.92,97672.75,425
25.92,97673.11,426
25.92,97673.44,427
25.92,97671.63,428
25.93,97671.72,429
25.93,97672.37,430
25.93,97671.91,431
25.93,97673.27,432
25.93,97672.28,433
25.93,97672.12,434
25.93,97672.28,435
25.94,97671.34,436
25.94,97670.84,437
25.93,97669.8,438
25.94,97671.52,439
25.94,97669.61,440
25.94,97670.72,441
25.94,97669.94,442
25.94,97668.45,443
25.94,97670.44,444
25.94,97668.45,445
25.95,97668.03,446
25.95,97666.55,447
25.95,97666.72,448
25.95,97668.24,449
25.95,97667.08,450
25.95,97667.63,451
25.95,97666.3,452
25.96,97665.84,453
25.96,97664.89,454
25.96,97664.06,455
25.96,97662.91,456
25.96,97661.91,457
25.96,97662.78,458
25.96,97660.44,459
25.96,97662.29,460
25.96,97660.34,461
25.97,97659.56,462
25.96,97660.34,463
25.97,97660.23,464
25.97,97660.94,465
25.97,97659.11,466
25.97,97660.94,467
25.97,97659.98,468
25.97,97659.66,469
25.97,97660.27,470
25.98,97660.52,471
25.97,97658.83,472
25.98,97659.08,473
25.98,97659.73,474
25.98,97660.19,475
25.98,97659.41,476
25.98,97658.13,477
25.98,97660.16,478
25.99,97658.53,479
25.99,97661.19,480
25.99,97660.19,481
25.99,97660.25,482
25.99,97660.75,483
25.99,97660.8,484
25.99,97662.16,485
25.99,97661.91,486
25.99,97660.8,487
25.99,97661.25,488
25.99,97661.45,489
25.99,97661.29,490
25.99,97661.66,491
25.99,97661.33,492
25.99,97661.95,493
25.99,97662.16,494
26,97664.02,495
26,97664.02,496
26,97666.7,497
26,97665.42,498
26,97664.72,499
26,97665.27,500
26.01,97665.47,501
26.01,97665.85,502
26.01,97665.64,503
26.01,97664.48,504
26.01,97665.8,505
26.01,97666.95,506
26,97664.11,507
26,97664.92,508
26,97666.92,509
26,97665.09,510
26.01,97663.32,511
26.01,97664.89,512
26.01,97663.86,513
26.01,97663.24,514
26.01,97663.03,515
26.01,97662.58,516
26.01,97662.78,517
26.01,97662.95,518
26.01,97661.96,519
26.01,97660.96,520
26.01,97661.13,521
26.02,97659.35,522
26.01,97659.48,523
26.02,97658.03,524
26.02,97657.36,525
26.02,97658.03,526
26.02,97659.56,527
26.02,97659.56,528
26.02,97658.44,529
26.02,97657.58,530
26.02,97658.58,531
26.02,97660.27,532
26.02,97659.77,533
26.02,97661.41,534
26.02,97661.75,535
26.02,97661.58,536
26.02,97662.45,537
26.02,97663.78,538
26.02,97663.37,539
26.02,97663.89,540
26.02,97663.89,541
26.02,97665.88,542
26.02,97666.22,543
26.02,97667.08,544
26.03,97666.94,545
26.03,97665.95,546
26.03,97665.02,547
26.03,97667.33,548
26.03,97667.61,549
26.03,97668.39,550
26.03,97666.53,551
26.04,97667.63,552
26.04,97668.61,553
26.04,97668.28,554
26.04,97668.29,555
26.04,97668.66,556
26.04,97668.33,557
26.04,97670.1,558
26.04,97669.81,559
26.04,97669.85,560
26.05,97670.1,561
26.05,97669.65,562
26.05,97672.49,563
26.06,97673.53,564
26.06,97673.53,565
26.06,97674.27,566
26.06,97673.27,567
26.07,97674.88,568
26.07,97673.89,569
26.07,97673.56,570
26.07,97673.39,571
26.07,97674.39,572
26.07,97674.6,573
26.07,97674.56,574
26.08,97675.84,575
26.08,97673.83,576
26.08,97674.68,577
26.08,97676.05,578
26.08,97675.71,579
26.09,97675.96,580
26.09,97675.96,581
26.09,97676.83,582
26.09,97674.5,583
26.09,97673.94,584
26.09,97674.25,585
26.1,97674.5,586
26.1,97674.71,587
26.1,97674.75,588
26.1,97673.92,589
26.11,97673.48,590
26.11,97671.96,591
26.11,97671.96,592
26.11,97671.3,593
26.11,97669.64,594
26.11,97667.87,595
26.11,97668.48,596
26.1,97665.45,597
26.11,97666.17,598
26.11,97664.55,599
26.11,97664.42,600
26.11,97663.61,601
26.11,97664.14,602
26.12,97663.36,603
26.12,97662.86,604
26.12,97662.58,605
26.12,97661.75,606
26.12,97662.58,607
26.12,97662.61,608
26.12,97663.55,609
26.12,97662.44,610
26.13,97663.35,611
26.12,97662.94,612
26.13,97663.02,613
26.13,97663.47,614
26.13,97662.86,615
26.13,97662.3,616
26.14,97664.14,617
26.13,97663.47,618
26.14,97663.32,619
26.14,97663.16,620
26.14,97664.14,621
26.14,97665.51,622
26.14,97665.35,623
26.14,97665.05,624
26.14,97666.7,625
26.14,97667,626
26.14,97666.87,627
26.14,97668.73,628
26.14,97668.52,629
26.14,97668.55,630
26.15,97670.49,631
26.15,97669.33,632
26.15,97670.2,633
26.15,97671.35,634
26.15,97671.53,635
26.15,97670.41,636
26.15,97670.91,637
26.16,97669.95,638
26.16,97671.28,639
26.16,97670.95,640
26.16,97671.11,641
26.16,97672.1,642
26.15,97671.9,643
26.16,97670.45,644
26.15,97670.91,645
26.15,97672.23,646
26.16,97673.95,647
26.16,97674.82,648
26.16,97675.95,649
26.16,97674.63,650
26.16,97676.36,651
26.16,97675.05,652
26.17,97676.77,653
26.16,97674.54,654
26.16,97675.48,655
26.17,97676.77,656
26.17,97677.27,657
26.17,97676.59,658
26.17,97676.83,659
26.17,97677.27,660
26.16,97677.47,661
26.18,97678.56,662
26.18,97678.19,663
26.18,97679.59,664
26.18,97679.63,665
26.18,97681.38,666
26.18,97680.99,667
26.18,97680.66,668
26.17,97681.91,669
26.17,97680.58,670
26.17,97680.58,671
26.18,97683.35,672
26.18,97682.72,673
26.18,97684.17,674
26.18,97682.78,675
26.18,97683.94,676
26.18,97684.34,677
26.18,97683.89,678
26.18,97683.55,679
26.18,97684.42,680
26.2,97684.63,681
26.2,97684.63,682
26.19,97683.43,683
26.2,97682.14,684
26.19,97684.05,685
26.19,97684.84,686
26.19,97684.66,687
26.19,97682.06,688
26.19,97682.68,689
26.19,97681.27,690
